time/total_timesteps,time/iterations,time/fps,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/loss,train/clip_range,train/entropy_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/learning_rate,train/policy_gradient_loss,phase,phase_learning_rate_start,phase_learning_rate_end
47104,23,258,0.0,-7.384,256.0,182,0.008514242246747,0.2,-0.0068822675733827,0.6148025989532471,0.00029296875,0.0743766095256432,7.702873e-05,220.0,0.0002887359999999,-0.0004332334036007,1,0.0003,5e-05
49152,24,258,0.0,-5.813999999999998,256.0,190,0.0079089207574725,0.2,-0.0044743251288309,-0.0001219511032104,0.00107421875,0.1617119962815195,0.00016843999,230.0,0.0002882239999999,-0.0009593760129064,1,0.0003,5e-05
51200,25,258,0.0,-4.4879999999999995,256.0,198,0.0243831705302,0.2,-0.0036482568859355,0.040077805519104,0.0,0.1867418901529163,-2.7939677e-08,240.0,0.0002877119999999,-4.876637831330299e-08,1,0.0003,5e-05
53248,26,258,0.0,-3.6379999999999986,256.0,206,0.0033367280848324,0.2,-0.0041748709685634,0.0004308223724365,0.0,0.1381224702694453,-1.6501872e-08,250.0,0.0002871999999999,-3.98256815969944e-08,1,0.0003,5e-05
55296,27,258,0.0,-2.6159999999999997,256.0,214,0.1096911281347274,0.2,-0.0035495671269018,-0.0005037784576416,0.000341796875,0.2491578516317531,7.20456e-05,260.0,0.0002866879999999,-0.0002532858750782,1,0.0003,5e-05
57344,28,258,0.0,-1.952,256.0,222,0.0043097981251776,0.2,-0.002225219970569,0.3581806421279907,0.000732421875,0.053322793872212,0.0001640798,270.0,0.0002861759999999,-0.001056377540226,1,0.0003,5e-05
59392,29,258,0.0,-1.956,256.0,230,0.0031490868423134,0.2,-0.0019969673972809,0.5622766017913818,0.0,0.0836252614419208,-7.712515e-09,280.0,0.000285664,-2.0049919839948416e-06,1,0.0003,5e-05
61440,30,258,0.0,-2.052,256.0,238,0.0274888593703508,0.2,-0.0013393364599323,2.086162567138672e-05,0.000439453125,0.3340192026924342,3.965583e-05,290.0,0.0002851519999999,-0.0009645557787735,1,0.0003,5e-05
63488,31,257,0.0,-1.58,256.0,246,0.0997709482908248,0.2,-0.001126976616797,0.0260804295539855,0.000390625,0.2866410577669739,1.8191524e-05,300.0,0.0002846399999999,-0.0001900857081636,1,0.0003,5e-05
65536,32,257,0.0,-1.3880000000000003,256.0,254,0.0038056592456996,0.2,-0.0009198348445352,0.0041646361351013,0.000439453125,0.007713144160516,2.4234265e-05,310.0,0.000284128,-0.0009996557113481,1,0.0003,5e-05
67584,33,257,0.0,-1.5500000000000005,256.0,262,0.0005250840913504,0.2,-0.0009692828243714,0.7782414555549622,0.0,0.0299500812441692,0.0,320.0,0.0002836159999999,-3.60183184966445e-07,1,0.0003,5e-05
69632,34,257,0.0,-1.37,256.0,270,0.6306706070899963,0.2,-0.000870364356524,0.0398663878440856,0.0,0.4870726547262166,0.0,330.0,0.0002831039999999,-2.933666110038757e-09,1,0.0003,5e-05
71680,35,257,0.0,-1.2800000000000005,256.0,278,0.003540237667039,0.2,-0.0008717913893633,0.0001484751701354,0.0,0.037303414840062,0.0,340.0,0.0002825919999999,-4.365574568510055e-10,1,0.0003,5e-05
73728,36,257,0.0,-1.136,256.0,286,0.0005486311856657,0.2,-0.0008965314176748,0.9364994168281556,0.0,0.002261638598793,0.0,350.0,0.00028208,4.8038782551884655e-08,1,0.0003,5e-05
75776,37,257,0.0,-1.1240000000000003,256.0,294,0.0003637560002971,0.2,-0.0008996242366265,0.7041642665863037,0.0,0.0044617857667617,0.0,360.0,0.0002815679999999,-2.0745210349559786e-08,1,0.0003,5e-05
77824,38,257,0.0,-0.902,256.0,302,0.0002000487293116,0.2,-0.0009091413667192,0.4536090493202209,0.0,0.0240981345301406,0.0,370.0,0.0002810559999999,-4.08967025578022e-08,1,0.0003,5e-05
79872,39,257,0.0,-0.8460000000000002,256.0,310,0.0003522949700709,0.2,-0.0009183224683511,0.9236658215522766,0.0,0.0019112810172373,-1.8248102e-08,380.0,0.000280544,-8.594943210482598e-08,1,0.0003,5e-05
81920,40,257,0.0,-0.8980000000000001,256.0,318,0.0011717292945832,0.2,-0.0009496213009697,0.1847001910209655,0.0,0.1887254729314008,-5.9313606e-08,390.0,0.000280032,-4.626053851097822e-09,1,0.0003,5e-05
83968,41,256,0.0,-0.8100000000000002,256.0,326,0.0008473932975903,0.2,-0.000992394570494,0.2922479510307312,0.0,0.0767055454067303,0.0,400.0,0.0002795199999999,-2.6837806217372416e-07,1,0.0003,5e-05
86016,42,256,0.0,-0.642,256.0,335,0.2364423125982284,0.2,-0.0009560479651554,-0.0001674890518188,0.0,0.1342871811390068,-5.6112185e-08,410.0,0.0002790079999999,-9.278301149606703e-09,1,0.0003,5e-05
