image_path,label,prefix,number,bucket,group_id,split
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A002.png,halfling,A,2,0,halfling_A_B000,test
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A003.png,halfling,A,3,0,halfling_A_B000,test
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A004.png,halfling,A,4,0,halfling_A_B000,test
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A007.png,halfling,A,7,0,halfling_A_B000,test
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A009.png,halfling,A,9,0,halfling_A_B000,test
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A010.png,halfling,A,10,0,halfling_A_B000,test
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A012.png,halfling,A,12,0,halfling_A_B000,test
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A014.png,halfling,A,14,0,halfling_A_B000,test
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A018.png,halfling,A,18,0,halfling_A_B000,test
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A020.png,halfling,A,20,0,halfling_A_B000,test
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A022.png,halfling,A,22,1,halfling_A_B001,train
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A025.png,halfling,A,25,1,halfling_A_B001,train
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A028.png,halfling,A,28,1,halfling_A_B001,train
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A029.png,halfling,A,29,1,halfling_A_B001,train
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A030.png,halfling,A,30,1,halfling_A_B001,train
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A032.png,halfling,A,32,1,halfling_A_B001,train
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A033.png,halfling,A,33,1,halfling_A_B001,train
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A036.png,halfling,A,36,1,halfling_A_B001,train
/Users/ziyanlei/Desktop/AIR/dungeon_images_colour80/halfling/halfling_A037.png,halfling,A,37,1,halfling_A_B001,train
