class,precision,recall,f1,support,method
halfling,0.970873786407767,1.0,0.9852216748768472,200,hog_svm
human,0.9936974789915968,0.979296066252588,0.986444212721585,483,hog_svm
lizard,0.9861111111111112,0.9466666666666668,0.9659863945578232,225,hog_svm
orc,0.9223744292237442,0.9758454106280192,0.9483568075117372,207,hog_svm
wingedrat,1.0,0.9782608695652174,0.989010989010989,92,hog_svm
halfling,1.0,1.0,1.0,200,resnet18
human,1.0,0.9979296066252588,0.998963730569948,483,resnet18
lizard,0.995575221238938,1.0,0.9977827050997784,225,resnet18
orc,1.0,1.0,1.0,207,resnet18
wingedrat,1.0,1.0,1.0,92,resnet18
